"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","Participant ID","Gender","Other - Write In:Gender","Age","How would you rate your understanding of information visualization systems?","How would you rate your understanding of touch tablet systems (like ipads etc.)?","How would you rate your understanding of touch tablet information visualization systems? (like Vizable or RoamBI)","What touch devices have you used/ interacted with in the past 1 year? ( List as many as you can remember)","What analytical or visualization systems have you used or interacted with in the past one year? (List as many as you can remember. Write NA/none if none)","What operating systems have you interacted with or used in the past one year? Include mobile, tablets as well as computers/ laptops. (List as many as you can remember)","Which system did you interact with?","On a scale of 1 (None) to 4 (High), rate how confident do you feel that you have learned the system enough to perform a task that might be given in the study? The tasks involve basic analytical questions and queries such as finding values satisfying certain criteria or identifying a trend or relation etc.","On a scale of 1 (Very little) to 4 (High), how motivated are you to continue using the system for the study? ","Which system did you interact with?","On a scale of 1 (None) to 4 (High), rate how confident do you feel that you have learned the system enough to perform a task that might be given in the study? The tasks involve basic analytical questions and queries such as finding values satisfying certain criteria or identifying a trend or relation etc.","On a scale of 1 (Very little) to 4 (High), how motivated are you to continue using the system for the study? ","URL Redirect"
"11","Mar 17, 2016 1:14:56 PM","Mar 17, 2016 1:54:10 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458234882_56eae6026fc718.03485892","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","211","Male","","22","High: I am very familiar with the idea of information visualization and have used several applications","Fairly familiar:  I use touch tablet systems occasionally","None: I have not used or seen a touch tablet information visualization system before","Android tablet Android Phones Windows Phones Touch screen laptop ","Qlik Tableau D3 Spotfire Excel","Linux Windows 7, 10 Mac OS X Android ","Prototype System","4","4","Vizable","2","2",""
"12","Mar 17, 2016 3:06:57 PM","Mar 17, 2016 3:44:19 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458241000_56eafde83a43c4.24895114","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","213","Male","","46","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Fairly familiar:  I use touch tablet systems occasionally","Low: I have seen  a touch tablet information visualization system before or an online video of one","Android smartphone","Excel","Windows 7, Android","Prototype System","2","3","Vizable","2","2",""
"13","Mar 17, 2016 4:13:06 PM","Mar 17, 2016 4:48:31 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458245517_56eb0f8de665b3.98411528","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","215","Female","","21","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","Low: I have seen  a touch tablet information visualization system before or an online video of one","MOBILE PHONES TABLETS INTERACTIVE DISPLAYS IN BUILDINGS","d3.js jquery tableau gephi openrefine weka aws - emr s3 ec2 ","OS X WINDOWS 7,8 UBUNTU","Prototype System","4","4","Vizable","4","4",""
"14","Mar 17, 2016 4:55:57 PM","Mar 17, 2016 5:40:45 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458248119_56eb19b78e0e94.79518776","Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 ","Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1","","217","Female","","26","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Less familiar: Only interacted with them a handful of times ( say less than 10 times totally)","None: I have not used or seen a touch tablet information visualization system before","Iphone, Android Smartphones, Kindle, iPad, Touchscreen laptops, Windows Surface ","Tableau, cartoDb, Spotfire, D3, OpenRefine","Android, iOS, Mac, Windows","Vizable","2","3","Prototype System","3","4",""
"15","Mar 18, 2016 10:15:28 AM","Mar 18, 2016 10:57:49 AM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458310039_56ec0b970929f4.51934523","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","219","Female","","28","High: I am very familiar with the idea of information visualization and have used several applications","Fairly familiar:  I use touch tablet systems occasionally","None: I have not used or seen a touch tablet information visualization system before","Dell venue 8 pro, Ipad, Nexus 7","Tableau, Many eyes, Excel, Voyager, etc","Win 8, OS X, Ubuntu, Android","Prototype System","4","3","Vizable","3","2",""
"16","Mar 18, 2016 12:10:46 PM","Mar 18, 2016 12:45:34 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458317252_56ec27c4bbd085.80749019","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","220","Female","","23","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Fairly familiar:  I use touch tablet systems occasionally","None: I have not used or seen a touch tablet information visualization system before","A smart phone Tablet","Tableau, Qlik View","Android, Windows 8.1, 10, Ubuntu","Vizable","4","4","Prototype System","3","3",""
"17","Mar 18, 2016 2:10:16 PM","Mar 18, 2016 2:44:36 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458324327_56ec436717a729.58394485","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","214","Male","","21","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","None: I have not used or seen a touch tablet information visualization system before","iPad","Tableau Excel","iOS Windows","Vizable","2","2","Prototype System","2","2",""
"18","Mar 18, 2016 3:13:34 PM","Mar 18, 2016 3:48:57 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458328350_56ec531e3fc791.71704568","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","212","Male","","25","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","Low: I have seen  a touch tablet information visualization system before or an online video of one","smartphones - samsung, htc, nokia, LG, Motorola tablets - Nexus, IPads","excel, tableau","android, ubuntu, windows, solaris","Vizable","3","3","Prototype System","3","4",""
"19","Mar 18, 2016 5:06:07 PM","Mar 18, 2016 5:51:31 PM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458334813_56ec6c5dcdcdd6.16702251","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","216","Female","","25","Fair: I have used applications like Tableau,  Excel, QlikView etc. occasionally (say,less than 10 times in the past year)","Very familiar: I interact with/use a touch tablet system very often (say, almost daily)","None: I have not used or seen a touch tablet information visualization system before","Android Smart Phone iPad iPhone Android Smartwatch","Excel ","iOS Mac OSx Android Windows  ","Vizable","2","2","Prototype System","3","4",""
"20","Mar 21, 2016 10:15:31 AM","Mar 21, 2016 10:54:15 AM","Complete","","","English","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","http://www.surveygizmo.com/s3/2651753/Study-2-Pre-task-survey","1458568939_56effeeb63bc07.15801959","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","218","Male","","25","High: I am very familiar with the idea of information visualization and have used several applications","Fairly familiar:  I use touch tablet systems occasionally","Low: I have seen  a touch tablet information visualization system before or an online video of one","tablet, phone","tableau, spotfire","Mac, Windows, Android, iOS","Prototype System","4","4","Vizable","3","3",""
